configuration,evaluation_scope,file_name,perturbation,status,rejection_reason,original_prediction_kg,perturbed_prediction_kg,delta_kg
random_forest,baseline,1f5efe82-b5ff-409c-99dd-faec76d29d0d.png,expansion,rejected,contraction_topology_violation,189.954379,,
random_forest,baseline,1f5efe82-b5ff-409c-99dd-faec76d29d0d.png,scale_grow,eligible,,189.954379,194.184868,4.230488
random_forest,baseline,1f5efe82-b5ff-409c-99dd-faec76d29d0d.png,scale_shrink,eligible,,189.954379,189.507104,-0.447275
random_forest,baseline,1f5efe82-b5ff-409c-99dd-faec76d29d0d.png,shift_down,eligible,,189.954379,189.954379,0.000000
random_forest,baseline,1f5efe82-b5ff-409c-99dd-faec76d29d0d.png,shift_left,eligible,,189.954379,189.954379,0.000000
random_forest,baseline,1f5efe82-b5ff-409c-99dd-faec76d29d0d.png,shift_right,eligible,,189.954379,189.954379,0.000000
random_forest,baseline,1f5efe82-b5ff-409c-99dd-faec76d29d0d.png,shift_up,eligible,,189.954379,189.954379,0.000000
random_forest,baseline,1f7fde85-94ee-4bad-9437-6b87e24c3e16.png,contraction,eligible,,109.864944,100.501955,-9.362989
random_forest,baseline,1f7fde85-94ee-4bad-9437-6b87e24c3e16.png,expansion,eligible,,109.864944,160.950430,51.085486
random_forest,baseline,1f7fde85-94ee-4bad-9437-6b87e24c3e16.png,scale_grow,eligible,,109.864944,139.932854,30.067910
random_forest,baseline,1f7fde85-94ee-4bad-9437-6b87e24c3e16.png,scale_shrink,eligible,,109.864944,106.762965,-3.101979
random_forest,baseline,1f7fde85-94ee-4bad-9437-6b87e24c3e16.png,shift_down,eligible,,109.864944,109.864944,0.000000
random_forest,baseline,1f7fde85-94ee-4bad-9437-6b87e24c3e16.png,shift_left,eligible,,109.864944,109.864944,0.000000
random_forest,baseline,1f7fde85-94ee-4bad-9437-6b87e24c3e16.png,shift_right,eligible,,109.864944,109.864944,0.000000
random_forest,baseline,1f7fde85-94ee-4bad-9437-6b87e24c3e16.png,shift_up,eligible,,109.864944,109.864944,0.000000
random_forest,baseline,22b6dbb3-e63e-4737-80fb-02a7c4f93bf4.png,contraction,eligible,,94.752740,82.631068,-12.121672
random_forest,baseline,22b6dbb3-e63e-4737-80fb-02a7c4f93bf4.png,expansion,eligible,,94.752740,101.717777,6.965037
random_forest,baseline,22b6dbb3-e63e-4737-80fb-02a7c4f93bf4.png,scale_grow,eligible,,94.752740,93.426632,-1.326108
random_forest,baseline,22b6dbb3-e63e-4737-80fb-02a7c4f93bf4.png,scale_shrink,eligible,,94.752740,90.790343,-3.962396
random_forest,baseline,22b6dbb3-e63e-4737-80fb-02a7c4f93bf4.png,shift_down,eligible,,94.752740,94.752740,0.000000
random_forest,baseline,22b6dbb3-e63e-4737-80fb-02a7c4f93bf4.png,shift_left,eligible,,94.752740,94.752740,0.000000
random_forest,baseline,22b6dbb3-e63e-4737-80fb-02a7c4f93bf4.png,shift_right,eligible,,94.752740,94.752740,0.000000
random_forest,baseline,22b6dbb3-e63e-4737-80fb-02a7c4f93bf4.png,shift_up,eligible,,94.752740,94.752740,0.000000
random_forest,baseline,22c85481-acbd-4076-b8d4-b330d3374d09.png,contraction,eligible,,478.965304,356.074637,-122.890666
random_forest,baseline,22c85481-acbd-4076-b8d4-b330d3374d09.png,expansion,eligible,,478.965304,472.037350,-6.927953
